prompt_index,example_id,sft_cosine_alignment,sft_explained_fraction,sft_displacement_norm,rl_cosine_alignment,rl_explained_fraction,rl_displacement_norm
64,probe-00064,0.9841532707214355,0.9685576558113098,0.7858567237854004,0.9680405259132385,0.9371024370193481,0.0032152964267879725
65,probe-00065,0.9861558079719543,0.9725030660629272,0.7842626571655273,0.9719444513320923,0.9446760416030884,0.003341036383062601
66,probe-00066,0.9765414595603943,0.9536333084106445,0.7778245806694031,0.9450416564941406,0.893103837966919,0.003207218134775758
67,probe-00067,0.980711042881012,0.9617940783500671,0.7545280456542969,0.9693573713302612,0.9396533966064453,0.003322796430438757
68,probe-00068,0.9867847561836243,0.9737440347671509,0.7791136503219604,0.9821348786354065,0.96458899974823,0.003320559859275818
69,probe-00069,0.9818748831748962,0.9640781879425049,0.7587023973464966,0.9689713716506958,0.9389054775238037,0.003082732204347849
70,probe-00070,0.9867587089538574,0.9736930727958679,0.7741982340812683,0.9741680026054382,0.9490031003952026,0.0032392435241490602
71,probe-00071,0.980755627155304,0.9618815183639526,0.7871997356414795,0.9555808901786804,0.913134753704071,0.003273383481428027
72,probe-00072,0.9875628352165222,0.975280225276947,0.7603652477264404,0.9610649943351746,0.9236458539962769,0.0031587276607751846
73,probe-00073,0.9879734516143799,0.9760916829109192,0.8093275427818298,0.9739298224449158,0.9485391974449158,0.0033021823037415743
74,probe-00074,0.9838498830795288,0.96796053647995,0.7580358982086182,0.9747098684310913,0.9500592947006226,0.0031475296709686518
75,probe-00075,0.9882196187973022,0.9765781760215759,0.7839273810386658,0.976765513420105,0.9540705680847168,0.003468004520982504
76,probe-00076,0.9817521572113037,0.9638375043869019,0.7853404879570007,0.9668911695480347,0.9348782896995544,0.003366420278325677
77,probe-00077,0.9882916212081909,0.97672039270401,0.778806746006012,0.9717180132865906,0.9442359209060669,0.003175341757014394
78,probe-00078,0.9882444143295288,0.9766269326210022,0.766310453414917,0.9685925841331482,0.9381712675094604,0.0031562065705657005
79,probe-00079,0.9849377274513245,0.9701022505760193,0.784513533115387,0.9801086783409119,0.9606128931045532,0.003428399097174406
80,probe-00080,0.9852564930915833,0.9707305431365967,0.7959086894989014,0.9704383611679077,0.9417502880096436,0.003315167734399438
81,probe-00081,0.9795132279396057,0.9594460725784302,0.7790378332138062,0.9573461413383484,0.9165116548538208,0.003285561688244343
82,probe-00082,0.9801262617111206,0.9606475830078125,0.748516321182251,0.9696010947227478,0.9401260614395142,0.003534242045134306
83,probe-00083,0.9795132279396057,0.9594460725784302,0.7790378332138062,0.9573461413383484,0.9165116548538208,0.003285561688244343
84,probe-00084,0.979888379573822,0.9601816534996033,0.7763084769248962,0.9519563317298889,0.9062207937240601,0.0033688340336084366
85,probe-00085,0.9875549674034119,0.9752651453018188,0.7527650594711304,0.979784369468689,0.9599773287773132,0.003156371181830764
86,probe-00086,0.9848143458366394,0.9698594212532043,0.7606902718544006,0.9694294333457947,0.9397931694984436,0.003136142622679472
87,probe-00087,0.9853222966194153,0.9708604216575623,0.7661597728729248,0.959321141242981,0.9202969670295715,0.003233925672248006
88,probe-00088,0.9839819073677063,0.9682205319404602,0.7482560276985168,0.9686398506164551,0.9382627010345459,0.0035351004917174578
89,probe-00089,0.9876130819320679,0.9753797054290771,0.787182092666626,0.972953200340271,0.946637749671936,0.0032542156986892223
90,probe-00090,0.9822351932525635,0.964786171913147,0.7829839587211609,0.9722433090209961,0.9452565908432007,0.0033683120273053646
91,probe-00091,0.9856206774711609,0.9714483022689819,0.7648754715919495,0.9713302850723267,0.9434824585914612,0.003372660605236888
92,probe-00092,0.9801262617111206,0.9606475830078125,0.748516321182251,0.9696010947227478,0.9401260614395142,0.003534242045134306
93,probe-00093,0.9875628352165222,0.975280225276947,0.7603652477264404,0.9610649943351746,0.9236458539962769,0.0031587276607751846
94,probe-00094,0.9870926141738892,0.9743520617485046,0.8050338625907898,0.977703332901001,0.9559035301208496,0.003313669702038169
95,probe-00095,0.9875549674034119,0.9752651453018188,0.7527650594711304,0.979784369468689,0.9599773287773132,0.003156371181830764
96,probe-00096,0.9806581735610962,0.9616905450820923,0.7858962416648865,0.9655720591545105,0.9323292374610901,0.0035235323011875153
