prompt_index,token_position,absolute_token_index,projection_energy_fraction,projection_coefficient
0,0,94,0.00827275775372982,0.16583293676376343
0,1,95,0.039466992020606995,0.4395582377910614
0,2,96,0.016750747337937355,0.20040950179100037
0,3,97,0.021478230133652687,0.2146015167236328
0,4,98,0.02251235395669937,0.17609962821006775
0,5,99,0.0234005618840456,0.16160520911216736
0,6,100,5.343614247976802e-05,-0.009311128407716751
0,7,101,0.0348428450524807,0.2009182572364807
0,8,102,0.009326167404651642,0.07684118300676346
0,9,103,0.010314129292964935,0.08830668032169342
0,10,104,8.910766155167948e-06,-0.00203129556030035
0,11,105,0.014303912408649921,0.08382800966501236
0,12,106,0.0059502217918634415,0.0603603720664978
0,13,107,0.015320374630391598,0.11964821815490723
0,14,108,0.012326519005000591,0.10449130833148956
0,15,109,0.019426848739385605,0.11175748705863953
0,16,110,0.01673922874033451,0.09895264357328415
0,17,111,0.01033887267112732,0.0610688179731369
0,18,112,0.005593559239059687,0.057274796068668365
0,19,113,0.00789779145270586,0.054518066346645355
0,20,114,0.023272475227713585,0.09517504274845123
0,21,115,0.011780647560954094,0.06479856371879578
0,22,116,0.00748379435390234,0.055269163101911545
0,23,117,0.021619731560349464,0.09828269481658936
0,24,118,0.019959399476647377,0.09406846761703491
0,25,119,0.009960927069187164,0.07126558572053909
0,26,120,0.00017259818559978157,-0.00873219221830368
0,27,121,0.0042778849601745605,0.0410667359828949
0,28,122,0.0011197313433513045,0.023571036756038666
0,29,123,0.012822470627725124,0.09298241883516312
0,30,124,0.012211108580231667,0.08464407175779343
0,31,125,0.009425623342394829,0.06413564831018448
0,32,126,0.013833274133503437,0.08508171886205673
0,33,127,0.0019478281028568745,0.02271103672683239
0,34,128,0.002446669153869152,0.03163345158100128
0,35,129,0.005670490674674511,0.03872596099972725
0,36,130,0.015377716161310673,0.06440398097038269
0,37,131,0.009196038357913494,0.058033693581819534
0,38,132,0.007039009127765894,0.04663889482617378
0,39,133,0.00550814950838685,0.05503223091363907
0,40,134,0.018986564129590988,0.11258494853973389
0,41,135,0.007143072783946991,0.06741616874933243
0,42,136,0.008965344168245792,0.06431886553764343
0,43,137,0.015400229021906853,0.09533108025789261
0,44,138,0.01166514866054058,0.0749906599521637
0,45,139,0.00044575732317753136,0.01097247563302517
0,46,140,0.002003222005441785,0.032043326646089554
0,47,141,0.004354151431471109,0.04047013446688652
0,48,142,0.008705328218638897,0.05844432860612869
0,49,143,0.0042383079417049885,0.04070490598678589
0,50,144,0.006571170873939991,0.05207514017820358
0,51,145,0.013651752844452858,0.07220203429460526
0,52,146,0.02938813529908657,0.10653399676084518
0,53,147,0.0005465612048283219,0.013755246996879578
0,54,148,0.014024686068296432,0.06336551904678345
0,55,149,0.012152720242738724,0.061794206500053406
0,56,150,0.0019577378407120705,0.018718581646680832
0,57,151,0.001251814654096961,0.017950601875782013
0,58,152,0.006000231951475143,0.03319980576634407
0,59,153,0.0019227616721764207,0.021392323076725006
0,60,154,0.005260458681732416,0.03539609536528587
0,61,155,0.0008021080866456032,0.01360417902469635
0,62,156,0.003398219356313348,0.03728334233164787
0,63,157,0.010998677462339401,0.058121297508478165
0,64,158,0.014721442945301533,0.06677830964326859
0,65,159,0.006354415323585272,0.04206043481826782
0,66,160,0.0036573249381035566,0.026656609028577805
0,67,161,0.01450597308576107,0.0482945553958416
0,68,162,0.0015880136052146554,0.01844554767012596
0,69,163,0.00041238090489059687,-0.009678398258984089
0,70,164,0.004539561457931995,0.0328255295753479
0,71,165,0.0025943873915821314,0.02305404283106327
0,72,166,0.004064320120960474,0.032390180975198746
0,73,167,0.005894217640161514,0.032404035329818726
0,74,168,0.008326445706188679,0.05536648631095886
0,75,169,0.00820622406899929,0.05363024026155472
0,76,170,0.00396708631888032,0.03691226616501808
0,77,171,0.0006437710835598409,0.012072514742612839
0,78,172,0.0027128064539283514,0.024287493899464607
0,79,173,0.017186563462018967,0.06250251084566116
0,80,174,0.005531031638383865,0.031000178307294846
0,81,175,0.002376166870817542,0.021106069907546043
0,82,176,0.009352432563900948,0.048766788095235825
0,83,177,0.005517849698662758,0.029162900522351265
0,84,178,0.00694081699475646,0.034536559134721756
0,85,179,0.00734295230358839,0.03308839350938797
0,86,180,0.013209007680416107,0.04184139519929886
0,87,181,0.0026840122882276773,0.017649037763476372
0,88,182,1.0821375326486304e-05,0.001543682999908924
0,89,183,0.005997917149215937,0.044748563319444656
0,90,184,0.008224443532526493,0.04902150109410286
0,91,185,0.006676617544144392,0.038550712168216705
0,92,186,0.004077668767422438,0.03141454607248306
0,93,187,0.0010886382078751922,0.017507918179035187
0,94,188,0.00466914800927043,0.04404829815030098
0,95,189,0.01028028130531311,0.05516096577048302
0,96,190,0.005970508325845003,0.04231884703040123
0,97,191,0.003218997037038207,0.03151963651180267
0,98,192,0.00834654737263918,0.05891164392232895
0,99,193,0.00846384558826685,0.06356417387723923
0,100,194,0.0031776526011526585,0.02855476550757885
0,101,195,0.0017492641927674413,0.023274285718798637
0,102,196,0.0033097979612648487,0.025151239708065987
0,103,197,0.00818087812513113,0.045026715844869614
0,104,198,0.011705524288117886,0.053912993520498276
0,105,199,0.005024248268455267,0.02814599871635437
0,106,200,0.004706098698079586,0.02565137855708599
0,107,201,0.0006088845548219979,0.009783955290913582
0,108,202,0.005462304688990116,0.026330649852752686
0,109,203,0.012917703948915005,0.04192723333835602
0,110,204,0.001756955636665225,0.014678660780191422
